epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,1582.61,1.11186,1.30744,1.28287,0.5807,0.6506,0.64901,0.49953,0.95473,1.31914,1.30607,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
64,1606.22,1.1012,1.29437,1.27697,0.5701,0.60299,0.62153,0.47947,0.97175,1.36033,1.31609,0.0253223,0.00844075,0.0253223,0.00844075,0.0253223,0.00844075,0.0253223,0.00844075
65,1630.41,1.10419,1.27151,1.26671,0.4937,0.67494,0.6106,0.46581,0.97974,1.3628,1.33533,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
66,1654.04,1.10549,1.27392,1.28103,0.57147,0.60844,0.61888,0.46757,0.97904,1.37076,1.32396,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
67,1677.7,1.10138,1.27812,1.27157,0.5633,0.65448,0.62679,0.47862,0.95583,1.32446,1.30465,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
68,1701.52,1.1006,1.2491,1.2697,0.58391,0.60725,0.63285,0.49134,0.96299,1.34467,1.30831,0.0250252,0.00834175,0.0250252,0.00834175,0.0250252,0.00834175,0.0250252,0.00834175
69,1725.21,1.10244,1.26561,1.27307,0.54103,0.6853,0.65434,0.50937,0.94072,1.29018,1.2973,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
70,1748.88,1.0987,1.25699,1.27436,0.5569,0.63401,0.65669,0.50253,0.96146,1.27217,1.30478,0.0248767,0.00829225,0.0248767,0.00829225,0.0248767,0.00829225,0.0248767,0.00829225
71,1772.57,1.08712,1.2246,1.26284,0.65202,0.62317,0.63539,0.49035,0.95935,1.36516,1.31896,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
72,1796.27,1.08977,1.2515,1.26906,0.58181,0.58654,0.62565,0.47866,0.958,1.36888,1.31606,0.0247282,0.00824275,0.0247282,0.00824275,0.0247282,0.00824275,0.0247282,0.00824275
73,1819.91,1.07509,1.21849,1.25527,0.5933,0.60383,0.63686,0.49834,0.94584,1.34163,1.31773,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
74,1843.44,1.0825,1.20325,1.26408,0.58006,0.64882,0.64749,0.50423,0.9369,1.2815,1.30098,0.0245797,0.00819325,0.0245797,0.00819325,0.0245797,0.00819325,0.0245797,0.00819325
75,1867.03,1.08014,1.20424,1.25685,0.56324,0.63016,0.62729,0.48213,0.96127,1.40671,1.3108,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
76,1890.76,1.08271,1.19971,1.26438,0.57989,0.59492,0.62574,0.48724,0.94786,1.35051,1.29699,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
77,1915.26,1.08644,1.2059,1.25958,0.53867,0.60437,0.60774,0.46916,0.95332,1.42998,1.31424,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
78,1938.89,1.08803,1.21437,1.2605,0.61509,0.61871,0.64752,0.49838,0.94562,1.30046,1.31538,0.0242827,0.00809425,0.0242827,0.00809425,0.0242827,0.00809425,0.0242827,0.00809425
79,1962.59,1.0768,1.17658,1.25394,0.63167,0.61164,0.63839,0.49382,0.95694,1.3611,1.3021,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
80,1986.23,1.07196,1.18112,1.25205,0.60495,0.59269,0.63585,0.48947,0.96155,1.34442,1.30574,0.0241342,0.00804475,0.0241342,0.00804475,0.0241342,0.00804475,0.0241342,0.00804475
81,2010.09,1.0794,1.18808,1.25619,0.57994,0.61839,0.64246,0.48893,0.96552,1.3473,1.31342,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
